epoch,lr,train_loss,val_loss,val_cer,val_accuracy
1,0.000279,0.2859,0.0368,0.0065,0.9277
2,0.000759,0.0244,0.0393,0.0070,0.9141
3,0.001000,0.0223,0.0300,0.0053,0.9405
4,0.000997,0.0180,0.0272,0.0041,0.9517
5,0.000987,0.0227,0.0197,0.0035,0.9574
6,0.000970,0.0139,0.0204,0.0031,0.9622
7,0.000947,0.0127,0.0207,0.0035,0.9619
8,0.000918,0.0120,0.0191,0.0032,0.9598
9,0.000883,0.0110,0.0145,0.0028,0.9598
10,0.000843,0.0112,0.0190,0.0031,0.9624
11,0.000799,0.0099,0.0161,0.0029,0.9603
12,0.000750,0.0094,0.0128,0.0027,0.9639
13,0.000698,0.0090,0.0124,0.0024,0.9644
14,0.000644,0.0087,0.0124,0.0024,0.9661
15,0.000587,0.0082,0.0121,0.0023,0.9676
16,0.000529,0.0079,0.0121,0.0026,0.9663
