epoch,lr,train_loss,val_loss,val_cer,val_accuracy
1,0.000228,0.3998,0.8536,0.1795,0.2651
2,0.000299,0.3801,0.9109,0.1794,0.2585
3,0.000295,0.3695,0.7934,0.1567,0.2696
4,0.000287,0.3597,0.7686,0.1671,0.2507
5,0.000274,0.3508,0.7850,0.1543,0.2880
6,0.000258,0.3398,0.8134,0.1531,0.2702
7,0.000239,0.3326,0.7751,0.1450,0.2768
8,0.000218,0.3217,0.9301,0.1714,0.2416
9,0.000194,0.3135,0.8041,0.1691,0.2505
10,0.000169,0.3038,0.9315,0.1804,0.1873
11,0.000144,0.2935,0.7714,0.1432,0.2651
12,0.000119,0.2833,0.7943,0.1347,0.2980
13,0.000094,0.2710,0.9581,0.1715,0.2191
14,0.000071,0.2611,0.9216,0.1522,0.2636
15,0.000051,0.2530,0.9094,0.1606,0.2358
16,0.000033,0.2426,0.9200,0.1571,0.2342
17,0.000019,0.2345,0.9745,0.1644,0.2431
18,0.000009,0.2270,0.9656,0.1580,0.2426
19,0.000002,0.2243,1.0025,0.1622,0.2308
20,0.000000,0.2219,1.0177,0.1651,0.2254
