epoch,lr,train_loss,val_loss,val_cer,val_accuracy
1,0.000013,8.5839,8.4308,0.6187,0.0115
2,0.000037,7.1250,6.2429,0.5894,0.0146
3,0.000066,4.8782,4.0423,0.5618,0.0277
4,0.000091,3.4928,3.1890,0.5334,0.0454
5,0.000100,2.8307,2.6809,0.4957,0.0669
6,0.000100,2.3914,2.3236,0.4460,0.0962
7,0.000100,2.0709,2.0509,0.4081,0.1115
8,0.000099,1.8285,1.8400,0.3809,0.1254
9,0.000098,1.6467,1.6811,0.3551,0.1369
10,0.000097,1.4959,1.5621,0.3369,0.1492
11,0.000096,1.3771,1.4559,0.3185,0.1615
12,0.000094,1.2735,1.3817,0.3046,0.1708
13,0.000092,1.1967,1.3076,0.2921,0.1862
14,0.000090,1.1272,1.2476,0.2802,0.2054
15,0.000088,1.0732,1.1936,0.2686,0.2169
16,0.000086,1.0166,1.1548,0.2654,0.2200
17,0.000083,0.9706,1.1084,0.2530,0.2346
18,0.000081,0.9318,1.0745,0.2485,0.2392
19,0.000078,0.8940,1.0468,0.2399,0.2454
20,0.000075,0.8572,1.0177,0.2361,0.2523
21,0.000072,0.8305,0.9952,0.2316,0.2592
22,0.000069,0.8058,0.9733,0.2251,0.2654
23,0.000065,0.7821,0.9573,0.2205,0.2723
24,0.000062,0.7544,0.9332,0.2152,0.2762
25,0.000059,0.7346,0.9203,0.2132,0.2831
26,0.000055,0.7172,0.9048,0.2071,0.2923
27,0.000052,0.7013,0.8918,0.2034,0.2962
28,0.000048,0.6847,0.8844,0.2021,0.3008
29,0.000045,0.6724,0.8723,0.1975,0.3015
30,0.000041,0.6560,0.8580,0.1969,0.3031
31,0.000038,0.6459,0.8504,0.1939,0.3123
32,0.000035,0.6362,0.8440,0.1930,0.3108
33,0.000031,0.6265,0.8354,0.1897,0.3154
34,0.000028,0.6192,0.8341,0.1897,0.3154
35,0.000025,0.6106,0.8317,0.1886,0.3208
36,0.000022,0.6055,0.8303,0.1847,0.3292
37,0.000019,0.5995,0.8225,0.1838,0.3262
38,0.000017,0.5933,0.8166,0.1824,0.3315
39,0.000014,0.5910,0.8154,0.1824,0.3323
40,0.000012,0.5862,0.8091,0.1822,0.3292
41,0.000010,0.5861,0.8047,0.1821,0.3338
42,0.000008,0.5748,0.8095,0.1806,0.3338
43,0.000006,0.5755,0.8092,0.1817,0.3323
44,0.000004,0.5712,0.8056,0.1801,0.3346
45,0.000003,0.5764,0.8054,0.1806,0.3315
46,0.000002,0.5747,0.8076,0.1793,0.3338
47,0.000001,0.5728,0.8080,0.1804,0.3323
48,0.000000,0.5705,0.8072,0.1799,0.3354
49,0.000000,0.5762,0.8025,0.1787,0.3300
50,0.000000,0.5707,0.8049,0.1802,0.3331
49,0.000060,0.5694,0.7932,0.1761,0.3400
50,0.000059,0.5580,0.7863,0.1738,0.3431
51,0.000057,0.5442,0.7750,0.1702,0.3492
52,0.000055,0.5292,0.7672,0.1698,0.3523
53,0.000053,0.5161,0.7583,0.1660,0.3562
54,0.000052,0.5056,0.7509,0.1640,0.3577
55,0.000050,0.4936,0.7406,0.1633,0.3638
56,0.000048,0.4842,0.7340,0.1623,0.3615
57,0.000046,0.4718,0.7326,0.1596,0.3662
58,0.000045,0.4666,0.7301,0.1589,0.3715
59,0.000043,0.4567,0.7229,0.1564,0.3800
60,0.000041,0.4513,0.7159,0.1549,0.3800
61,0.000040,0.4432,0.7171,0.1540,0.3815
62,0.000038,0.4344,0.7119,0.1534,0.3869
63,0.000036,0.4287,0.7083,0.1524,0.3862
64,0.000035,0.4237,0.7045,0.1513,0.3892
65,0.000033,0.4165,0.7039,0.1506,0.3931
66,0.000031,0.4091,0.6992,0.1500,0.3908
67,0.000030,0.4074,0.6960,0.1484,0.3946
68,0.000028,0.4028,0.6969,0.1477,0.3931
69,0.000027,0.3966,0.6959,0.1468,0.4015
70,0.000025,0.3969,0.6950,0.1473,0.3954
71,0.000023,0.3910,0.6931,0.1456,0.4015
72,0.000022,0.3868,0.6933,0.1456,0.4015
73,0.000021,0.3838,0.6927,0.1450,0.4023
74,0.000019,0.3812,0.6882,0.1441,0.4054
75,0.000018,0.3780,0.6870,0.1441,0.4062
76,0.000017,0.3741,0.6862,0.1435,0.4046
77,0.000015,0.3733,0.6888,0.1420,0.4077
78,0.000014,0.3678,0.6868,0.1427,0.4085
79,0.000013,0.3707,0.6869,0.1420,0.4054
80,0.000012,0.3669,0.6854,0.1420,0.4069
81,0.000011,0.3675,0.6807,0.1423,0.4077
82,0.000010,0.3652,0.6799,0.1420,0.4046
83,0.000009,0.3607,0.6841,0.1417,0.4108
84,0.000008,0.3602,0.6773,0.1417,0.4123
85,0.000007,0.3609,0.6852,0.1414,0.4108
86,0.000006,0.3608,0.6813,0.1412,0.4131
87,0.000005,0.3603,0.6833,0.1409,0.4100
88,0.000004,0.3589,0.6847,0.1414,0.4085
89,0.000004,0.3554,0.6841,0.1399,0.4146
90,0.000003,0.3584,0.6840,0.1416,0.4077
91,0.000002,0.3543,0.6834,0.1405,0.4138
92,0.000002,0.3561,0.6781,0.1412,0.4131
93,0.000001,0.3564,0.6832,0.1399,0.4123
94,0.000001,0.3572,0.6856,0.1401,0.4146
95,0.000001,0.3546,0.6802,0.1406,0.4115
96,0.000000,0.3549,0.6848,0.1408,0.4138
97,0.000000,0.3565,0.6825,0.1415,0.4092
98,0.000000,0.3571,0.6837,0.1414,0.4123
99,0.000000,0.3506,0.6812,0.1408,0.4085
100,0.000000,0.3507,0.6810,0.1412,0.4154
